id,title,body,type,source,received_at
52,Instagram Notification,lisa_art sent you a photo 📷,foreground,Instagram,2026-01-11 12:44:33
48,Instagram Notification,mike_fitness tagged you in a photo 🏷️,foreground,Instagram,2026-01-11 12:44:31
44,Instagram Notification,anna_fashion is live now! 📹,foreground,Instagram,2026-01-11 12:44:28
40,Instagram Notification,olivia_yoga requested to follow you 🔔,foreground,Instagram,2026-01-11 12:44:27
36,Instagram Notification,anna_fashion accepted your follow request ✅,foreground,Instagram,2026-01-11 12:44:24
32,Instagram Notification,maria_beauty is live now! 📹,foreground,Instagram,2026-01-11 12:44:22
28,Instagram Notification,olivia_yoga added your post to their story 📲,foreground,Instagram,2026-01-11 12:44:20
24,Instagram Notification,ryan_cooking is live now! 📹,foreground,Instagram,2026-01-11 12:44:18
20,Instagram Notification,sarah_travels sent you a photo 📷,foreground,Instagram,2026-01-11 12:44:15
16,Instagram Notification,Your post is getting popular! 🔥,foreground,Instagram,2026-01-11 12:44:13
12,Instagram Notification,daniel_cars requested to follow you 🔔,foreground,Instagram,2026-01-11 12:43:14
11,Instagram Notification,sarah_travels accepted your follow request ✅,background,Instagram,2026-01-11 12:42:12
7,Instagram Notification,james_gaming replied to your comment 💭,foreground,Instagram,2026-01-11 12:41:24
6,Instagram Notification,john_tech mentioned you in a comment 📝,background,Instagram,2026-01-11 12:40:46
5,Instagram Notification,You have 35 new notifications 🔔,background,Instagram,2026-01-11 12:40:44
4,Instagram Notification,daniel_cars commented on your post 💬,background,Instagram,2026-01-11 12:40:42
3,Instagram Notification,alex_photography mentioned you in a comment 📝,background,Instagram,2026-01-11 12:40:40
2,Instagram Notification,maria_beauty tagged you in a story 📸,background,Instagram,2026-01-11 12:40:38
1,Instagram Notification,sophie_books liked your video 💙,background,Instagram,2026-01-11 12:38:47
